occ,y2_hhid,qx_type,interview_status,ag_l0a,ag_l0b,ag_l00b,ag_l0c,ag_l0d,ag_l01a,ag_l01b,ag_l02,ag_l03,ag_l04,ag_l15,ag_l16a,ag_l16b,ag_l17,ag_l18,ag_l19,ag_l20,ag_l21,ag_l22,ag_l23,ag_l24,ag_l25,ag_l26a,ag_l26b,ag_l27,ag_l28,ag_l29,ag_l30,ag_l31,ag_l32,ag_l33,ag_l34,ag_l35,ag_l36a,ag_l36b,ag_l37,ag_l38a,ag_l38b,ag_l39a,ag_l39b,ag_l40,ag_l41,ag_l42a,ag_l42b,ag_l43,ag_l44a,ag_l44b
2,1030-003,PANEL B,Panel B - Combined Visit,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1030-003,PANEL B,Panel B - Combined Visit,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1030-003,PANEL B,Panel B - Combined Visit,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1030-003,PANEL B,Panel B - Combined Visit,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1030-003,PANEL B,Panel B - Combined Visit,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1030-003,PANEL B,Panel B - Combined Visit,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1030-003,PANEL B,Panel B - Combined Visit,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1030-003,PANEL B,Panel B - Combined Visit,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1031-001,PANEL A,Panel A - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1031-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1031-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1031-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1031-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1031-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1031-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1031-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1031-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1032-001,PANEL B,Panel B - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1032-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,CHITOWE,23:21:0+4S/CHITOWE,5,KILOGRAM,"NO, THE ENTRIES WERE ADJUSTED",YES,YES,N03,5,KILOGRAM,ON FOOT,0,2000,"PAID IN FULL, WITH OWN-SAVINGS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1032-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,UREA,UREA,5,KILOGRAM,"NO, THE ENTRIES WERE ADJUSTED",YES,YES,N03,5,KILOGRAM,ON FOOT,0,2000,"PAID IN FULL, WITH OWN-SAVINGS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1032-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1032-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1032-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1032-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1032-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1032-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1033-001,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1033-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1033-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1033-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1033-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1033-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1033-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1033-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1033-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1034-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1035-001,PANEL A,Panel A - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,27,BUCKET,"YES, THE FIGURES MATCHED",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,YES,9,BUCKET
2,1035-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1035-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1035-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1035-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1035-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1035-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1035-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1035-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1036-001,PANEL B,Panel B - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1036-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1036-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1036-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1036-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1036-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1036-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1036-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1036-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1036-007,PANEL B,Panel B - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1036-007,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1036-007,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1036-007,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1036-007,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1036-007,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1036-007,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1036-007,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1036-007,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1037-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1038-001,PANEL B,Panel B - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,150,KILOGRAM,"YES, THE FIGURES MATCHED",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,YES,150,KILOGRAM
2,1038-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,CHITOWE,23:21:0+4S/CHITOWE,500,GRAM,"YES, THE FIGURES MATCHED",NO,YES,N06,500,GRAM,ON FOOT,0,300,"PAID IN FULL, WITH OWN-SAVINGS",,,,NO,,,,,,,,,,,,,,,NO,,,,,,NO,,,,,
3,1038-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,UREA,UREA,500,GRAM,"YES, THE FIGURES MATCHED",NO,YES,N06,500,GRAM,ON FOOT,0,300,"PAID IN FULL, WITH OWN-SAVINGS",,,,NO,,,,,,,,,,,,,,,NO,,,,,,NO,,,,,
4,1038-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1038-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1038-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1038-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1038-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1038-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1039-001,PANEL A,Panel A - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1039-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1039-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1039-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1039-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1039-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1039-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1039-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1039-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1040-001,PANEL B,Panel B - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,7,BUCKET,"YES, THE FIGURES MATCHED",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,YES,7,BUCKET
2,1040-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1040-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1040-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1040-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1040-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1040-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1040-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1040-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1041-001,PANEL A,Panel A - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1041-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,CHITOWE,23:21:0+4S/CHITOWE,11,KILOGRAM,"YES, THE FIGURES MATCHED",NO,YES,N06,11,KILOGRAM,BICYCLE TAXI,400,3300,"PAID IN FULL, WITH OWN-SAVINGS",,,,NO,,,,,,,,,,,,,,,NO,,,,,,NO,,,,,
3,1041-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,CAN,CAN,10,KILOGRAM,"YES, THE FIGURES MATCHED",NO,YES,N06,10,KILOGRAM,BICYCLE TAXI,400,2800,"PAID IN FULL, WITH OWN-SAVINGS",,,,NO,,,,,,,,,,,,,,,NO,,,,,,NO,,,,,
4,1041-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1041-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1041-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1041-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1041-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1041-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1042-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1042-004,PANEL B,Panel B - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1042-004,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1042-004,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1042-004,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1042-004,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1042-004,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1042-004,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1042-004,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1042-004,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1043-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1044-001,PANEL B,Panel B - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1044-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1044-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1044-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1044-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1044-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1044-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1044-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1044-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
